ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,Pitch (Deg),Roll (Deg),Heading (Deg),MagX,MagY,MagZ
0.14790692925453186,0.07299196720123291,9.575179100036621,-0.004834817595781589,0.01570503337463096,-0.0013889113292873795,0.0,2019-08-06 14:15:18:503,-3.58230055272191,3.591264809547243,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.17664392292499542,0.022702226415276527,9.560811042785645,0.0010255674062370958,0.01863522629826108,0.003672330354982212,0.009989738464355469,2019-08-06 14:15:18:513,-7.0999381250503175,7.116143268453774,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.1981966644525528,0.029886476695537567,9.615889549255371,0.0020910919816125757,0.01996713141605855,0.0007421378864821609,0.01997208595275879,2019-08-06 14:15:18:523,-10.54551554127039,10.569086801462737,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.17903867363929749,0.02509697712957859,9.599126815795898,-0.0016382440647108938,0.015971413982071532,-0.0027208169672335025,0.029990434646606445,2019-08-06 14:15:18:533,-13.92221897908769,13.955630628436,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.152696430683136,0.07299196720123291,9.599126815795898,-0.0013718629371216693,0.01756970178790418,-0.005651009370714973,0.0399785041809082,2019-08-06 14:15:18:543,-17.235401278805778,17.268573997127135,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.1455121785402298,0.022702226415276527,9.572784423828125,0.0010255674062370958,0.015438651726893083,0.0007421378864821609,0.04999852180480957,2019-08-06 14:15:18:553,-20.481962111511564,20.519907931959583,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.2173546701669693,0.05862347409129143,9.587152481079102,0.0012919485988449018,0.01570503337463096,-0.0003233867214026093,0.059987783432006836,2019-08-06 14:15:18:563,-23.655156633776407,23.701778173096866,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.14311742782592773,0.03707072511315346,9.496152877807617,-0.0016382440647108938,0.014373127216536186,0.003405949227392988,0.07002425193786621,2019-08-06 14:15:18:573,-26.772884528338135,26.82419247654376,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.20777566730976105,0.03946547582745552,9.584757804870605,-0.002703768575067792,0.020233512023499125,-5.7005565367755386e-05,0.07998085021972656,2019-08-06 14:15:18:583,-29.823901674275042,29.884501891361428,0,-34.78583526611328,34.18608093261719,-29.687911987304688
0.13114367425441742,0.03228122740983963,9.56320571899414,-0.0005727194893354142,0.0215654192218912,0.00020937558253977584,0.0899970531463623,2019-08-06 14:15:18:593,-32.82383884733757,32.88326585734914,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.14790692925453186,0.022702226415276527,9.544047355651855,0.0007591862786478714,0.012774840451000838,0.003938711482571438,0.0999908447265625,2019-08-06 14:15:18:603,-35.75677350067786,35.82244876241659,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.17664392292499542,0.03946547582745552,9.55362606048584,-0.002970149702657017,0.01756970178790418,0.0018076624618576407,0.10999393463134766,2019-08-06 14:15:18:613,-38.63032119193885,38.70293435350294,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.20538091659545898,0.03228122740983963,9.594337463378906,0.0012919485988449018,0.014905889471714633,-0.0021880547120550534,0.12000703811645508,2019-08-06 14:15:18:623,-41.44156910768276,41.52429374116171,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.1646701693534851,0.02509697712957859,9.589548110961914,-0.0037692930854246903,0.016237795629809405,0.00020937558253977584,0.130218505859375,2019-08-06 14:15:18:633,-44.20237248796738,44.292970086178904,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.18143342435359955,0.020307477563619614,9.570389747619629,-0.0003063383292368989,0.013041222098738713,0.004471473997824211,0.1399986743927002,2019-08-06 14:15:18:643,-46.90376526885791,47.00484738899026,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.17664392292499542,0.005938979331403971,9.579968452453613,-0.004834817595781589,0.017836082395344753,-0.00431910373276885,0.14996862411499023,2019-08-06 14:15:18:653,-49.55454779428523,49.666746631158986,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.15748591721057892,0.03707072511315346,9.615889549255371,0.0012919485988449018,0.016237795629809405,0.0023404247170360896,0.1601724624633789,2019-08-06 14:15:18:663,-52.153994432369814,52.26825382616281,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.19340716302394867,0.06101822108030319,9.656600952148438,-0.0013718629371216693,0.01410674660909561,-0.000856149009090349,0.1701357364654541,2019-08-06 14:15:18:673,-54.69585847830284,54.816415493949535,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.12156467884778976,0.034675974398851395,9.599126815795898,-0.004302055340603139,0.020766275318974875,-0.001655292456876604,0.18012523651123047,2019-08-06 14:15:18:683,-57.199078041992664,57.318360747863416,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.19580191373825073,0.06101822108030319,9.572784423828125,-0.004568436468192365,0.016770557884987856,0.00020937558253977584,0.18997597694396973,2019-08-06 14:15:18:693,-59.64093726279782,59.76721629428618,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.18143342435359955,0.029886476695537567,9.551231384277344,0.0010255674062370958,0.01756970178790418,-0.001122530201698155,0.199998140335083,2019-08-06 14:15:18:703,-62.036240763273256,62.167709198401674,0,-34.336021423339844,35.53553009033203,-29.83785057067871
0.19340716302394867,0.029886476695537567,9.594337463378906,-0.002171006319889343,0.009844647527370716,-0.0027208169672335025,0.20998859405517578,2019-08-06 14:15:18:713,-64.37794165053269,64.52200333850729,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.1718544214963913,0.01072847843170166,9.522494316101074,-3.9957173202045016e-05,0.0194343681205828,-0.0027208169672335025,0.22000432014465332,2019-08-06 14:15:18:723,-66.6806340191521,66.83029470245309,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.20777566730976105,0.013123228214681149,9.579968452453613,-0.0005727194893354142,0.016770557884987856,-0.0003233867214026093,0.23002147674560547,2019-08-06 14:15:18:733,-68.9316047831367,69.09244119688263,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.1838281750679016,0.041860222816467285,9.62067985534668,-0.002703768575067792,0.01863522629826108,0.003405949227392988,0.24000120162963867,2019-08-06 14:15:18:743,-71.14152208524308,71.30712153316178,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.19580191373825073,0.022702226415276527,9.55362606048584,-0.002970149702657017,0.014905889471714633,0.0018076624618576407,0.25000524520874023,2019-08-06 14:15:18:753,-73.30358237032002,73.47992448440509,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.16706492006778717,0.04425497353076935,9.594337463378906,-0.004302055340603139,0.017036938492428433,-0.002987198094822727,0.26000523567199707,2019-08-06 14:15:18:763,-75.42712527239664,75.60745596203613,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.1646701693534851,0.06341297179460526,9.539258003234863,-0.0005727194893354142,0.021299036533856022,-0.000856149009090349,0.2700190544128418,2019-08-06 14:15:18:773,-77.51077942276395,77.68801141611091,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.19340716302394867,0.0035442295484244823,9.606310844421387,-0.005633960978549262,0.013307602706179285,0.001541281334268416,0.2800111770629883,2019-08-06 14:15:18:783,-79.54496215251267,79.73698937395164,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.20777566730976105,0.03946547582745552,9.567995071411133,-3.9957173202045016e-05,0.015172271119452508,-0.001122530201698155,0.2899961471557617,2019-08-06 14:15:18:793,-81.53768887123202,81.73754541351911,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.1838281750679016,0.022702226415276527,9.522494316101074,0.0023574731092018,0.017303320140166306,0.00047575672638364575,0.3000063896179199,2019-08-06 14:15:18:803,-83.49454211332252,83.69873750170298,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.18143342435359955,0.01072847843170166,9.522494316101074,0.0010255674062370958,0.0183688436102259,0.00020937558253977584,0.31000518798828125,2019-08-06 14:15:18:813,-85.41313346277941,85.62289592569697,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.18143342435359955,-0.02519276738166809,9.615889549255371,0.0004928051185493561,0.014373127216536186,0.004471473997824211,0.32021236419677734,2019-08-06 14:15:18:823,-87.29148981836701,80.31315775412551,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.16227541863918304,0.04425497353076935,9.589548110961914,-0.0024373874474785677,0.011709315940643939,0.0020740435894468653,0.32999706268310547,2019-08-06 14:15:18:833,-89.13270376858345,82.30294545444859,0,-35.68547058105469,34.78583526611328,-27.288888931274414
0.12874892354011536,0.008333728648722172,9.55362606048584,-0.0016382440647108938,0.013840364961357736,0.004205092610160662,0.34000444412231445,2019-08-06 14:15:18:843,-90.94238484114484,84.25680750218375,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.15988066792488098,0.06341297179460526,9.589548110961914,-0.003502911957835466,0.01810246300278533,0.0010085190140713856,0.3500080108642578,2019-08-06 14:15:18:853,-92.71460189853295,86.16606142844194,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.2101704180240631,0.01072847843170166,9.584757804870605,-0.0003063383292368989,0.021299036533856022,0.004737855125413436,0.36000728607177734,2019-08-06 14:15:18:863,-94.4471452590484,88.04162954220907,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.17424917221069336,0.07299196720123291,9.611100196838379,-3.9957173202045016e-05,0.017036938492428433,0.004737855125413436,0.3700237274169922,2019-08-06 14:15:18:873,-96.14701113483413,89.87211687986022,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.1455121785402298,0.02509697712957859,9.618284225463867,0.005287665772757595,0.017303320140166306,0.0026068058446253144,0.38004088401794434,2019-08-06 14:15:18:883,-97.81646847609599,91.66871040195657,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.15030167996883392,-0.015613768249750137,9.64462661743164,-0.0005727194893354142,0.017303320140166306,0.00047575672638364575,0.3900015354156494,2019-08-06 14:15:18:893,-99.4519601854342,86.23751164065135,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.15748591721057892,0.05143922194838524,9.663784980773926,-0.005367579850960038,0.016237795629809405,0.0020740435894468653,0.3999819755554199,2019-08-06 14:15:18:903,-101.05334788228413,88.10966988150385,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.16227541863918304,0.03707072511315346,9.58236312866211,-0.0019046251923001184,0.017303320140166306,0.0023404247170360896,0.40998315811157227,2019-08-06 14:15:18:913,-102.6225938659028,89.9441129406086,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.15988066792488098,0.056228723376989365,9.567995071411133,-0.0013718629371216693,0.014905889471714633,0.005004236253002661,0.41997718811035156,2019-08-06 14:15:18:923,-104.15936022439556,91.73926633817975,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.20059141516685486,0.06580772250890732,9.60391616821289,-0.003502911957835466,0.01570503337463096,0.00020937558253977584,0.4299921989440918,2019-08-06 14:15:18:933,-105.66107401838235,93.498598951909,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.14311742782592773,0.08736047148704529,9.587152481079102,0.0002264239747054862,0.017836082395344753,-0.000856149009090349,0.44016194343566895,2019-08-06 14:15:18:943,-107.14093246494696,95.21805610471259,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.15030167996883392,0.02509697712957859,9.565600395202637,-0.0016382440647108938,0.01863522629826108,0.0031395680998037635,0.45012784004211426,2019-08-06 14:15:18:953,-108.59053780649688,96.91160522009696,0,-34.18608093261719,35.38559341430664,-29.38803482055664
0.1191699281334877,0.049044474959373474,9.599126815795898,0.0002264239747054862,0.017036938492428433,0.00020937558253977584,0.4599790573120117,2019-08-06 14:15:18:963,-110.01392551383125,98.56739313596371,0,-35.68547058105469,34.18608093261719,-29.687911987304688
0.13114367425441742,0.034675974398851395,9.539258003234863,-0.004568436468192365,0.018901606905701654,-0.00431910373276885,0.4699740409851074,2019-08-06 14:15:18:973,-111.40850209665165,100.19444367982351,0,-35.68547058105469,34.18608093261719,-29.687911987304688
0.1838281750679016,0.027491725981235504,9.565600395202637,-0.002703768575067792,0.017836082395344753,0.0010085190140713856,0.4799685478210449,2019-08-06 14:15:18:983,-112.76832241721509,101.78877875949804,0,-35.68547058105469,34.18608093261719,-29.687911987304688
0.1838281750679016,0.01791272684931755,9.584757804870605,-3.9957173202045016e-05,0.01570503337463096,-0.003519960350001176,0.4899780750274658,2019-08-06 14:15:18:993,-114.0998076525727,103.35088406956895,0,-35.68547058105469,34.18608093261719,-29.687911987304688
0.1838281750679016,0.020307477563619614,9.56320571899414,-3.9957173202045016e-05,0.01357398435391716,0.00047575672638364575,0.5000343322753906,2019-08-06 14:15:19:003,-115.40345156680533,104.88145560097122,0,-35.68547058105469,34.18608093261719,-29.687911987304688
