ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.09145309776067734,0.037954386323690414,9.69051742553711,-0.0021243895575426474,-0.0035521926614952163,0.003149690712689317,-3.5891858798831984,3.5955118701401463,0,0.0,2019-08-07 13:39:46:156
0.10342684388160706,0.0020331426057964563,9.79349136352539,-0.007452012629475789,-0.0006219999979394207,0.001018641496919776,-7.105197463054264,7.124602475927253,0,0.0029604434967041016,2019-08-07 13:39:46:159
-0.030679138377308846,0.05471763759851456,9.90125560760498,-0.006919250374297341,0.0009762868976330894,0.001817784944706031,-3.3668527390061933,10.577256233946844,0,0.006765842437744141,2019-08-07 13:39:46:163
0.1393480896949768,0.1624813675880432,9.757570266723633,-0.0039890577107415445,-0.0008883811255286454,0.003149690712689317,-6.88299141871229,13.947352107850687,0,0.009984016418457031,2019-08-07 13:39:46:166
0.11300584673881531,0.1313496232032776,9.759964942932129,0.004801520279925842,-0.006216004197461787,0.001817784944706031,-10.33103615413775,17.25219016291889,0,0.012929439544677734,2019-08-07 13:39:46:169
0.0028473574202507734,-0.05544085055589676,9.767149925231934,-0.007452012629475789,-0.008613434345764809,0.002084166072295256,-13.72221992778272,13.315261248617997,0,0.016778230667114258,2019-08-07 13:39:46:173
0.060321349650621414,0.009217391721904278,9.762359619140625,-0.006120106991529666,-0.0134082951625195,0.001018641496919776,-17.03826623582396,16.64898268450071,0,0.0200042724609375,2019-08-07 13:39:46:176
-0.04265288636088371,0.19121836125850677,9.757570266723633,-0.01384515969161718,-0.006216004197461787,-0.0013787888464389891,-13.101478196146477,19.895847608195744,0,0.022960424423217773,2019-08-07 13:39:46:179
-0.05941613391041756,0.25827136635780334,9.771939277648926,-0.0015916273023641983,-0.009146196080794608,-0.002177932229206663,-9.244460763495056,23.067991529719286,0,0.026767730712890625,2019-08-07 13:39:46:183
-0.08096887916326523,0.23192910850048065,9.829413414001465,-0.0039890577107415445,-0.008347053218175584,-0.0037762191247791726,-5.4674802698964395,26.180329755533883,0,0.030033111572265625,2019-08-07 13:39:46:186
0.04355810210108757,0.1696656197309494,9.719254493713379,-0.006386488119118891,-0.009412577728532483,-0.0027106946144222744,-8.951426962352812,29.237785355369475,0,0.03300023078918457,2019-08-07 13:39:46:189
0.00045260769547894597,0.13374437391757965,9.764754295349121,-0.007452012629475789,-0.01047810223888938,-0.0027106946144222744,-12.370130972522139,32.238910263397045,0,0.036763906478881836,2019-08-07 13:39:46:193
0.03637385368347168,0.11937587708234787,9.807860374450684,-0.007452012629475789,-0.009146196080794608,-0.0037762191247791726,-15.716820597701956,35.18153616174674,0,0.039992332458496094,2019-08-07 13:39:46:196
-0.10491637885570526,0.24629761278629303,9.786307334899902,-0.0026571518127210965,-0.007015147580229461,-0.0077719362986918665,-11.813604248201607,38.04951269970125,0,0.04294872283935547,2019-08-07 13:39:46:199
-0.011521141044795513,0.17445512115955353,9.745596885681152,-0.007185631501886564,-0.012076389004424728,-0.005907268405567294,-7.976097566226738,40.86955236000875,0,0.046767234802246094,2019-08-07 13:39:46:203
-0.07378463447093964,0.13374437391757965,9.795886039733887,-0.007452012629475789,-0.004084954916673665,-0.010169366967143538,-4.224467096296184,43.637866238183264,0,0.04999184608459473,2019-08-07 13:39:46:206
-0.14562712609767914,0.1960078626871109,9.79349136352539,-0.011714110670903381,-0.007015147580229461,-0.00857107968145954,-0.5558511223018354,46.344122692283406,0,0.05294919013977051,2019-08-07 13:39:46:209
-0.15041662752628326,0.1576918661594391,9.846176147460938,-0.005054581961024118,-0.008613434345764809,-0.011767653732678886,3.039610609032607,48.99997444672272,0,0.056772470474243164,2019-08-07 13:39:46:213
-0.07857413589954376,0.1505076289176941,9.963519096374512,-0.0029235329403103213,-0.006748766452640236,-0.010968509829762562,6.571001547720754,51.60319466081881,0,0.05999159812927246,2019-08-07 13:39:46:216
-0.14562712609767914,0.20558686554431915,9.827017784118652,-0.0034562954555630953,-0.007547909835407911,-0.01150127208494101,10.023847764473464,54.147731791410564,0,0.06293249130249023,2019-08-07 13:39:46:219
-0.15281137824058533,0.06908613443374634,9.867729187011719,-0.006652869246708115,-0.01047810223888938,-0.012300415987857336,13.407889901795722,56.65819151356798,0,0.06677937507629395,2019-08-07 13:39:46:223
-0.14323237538337708,0.1576918661594391,9.865334510803223,-0.005853725863940442,-0.010211721631448806,-0.017095276284463376,16.72494276702983,59.1077710523563,0,0.07000017166137695,2019-08-07 13:39:46:226
-0.2533908486366272,0.12895487248897552,9.889281272888184,-0.004788200833434893,-0.010211721631448806,-0.01842718140226085,19.962781762950716,61.51146771603186,0,0.0729527473449707,2019-08-07 13:39:46:229
-0.14562712609767914,0.1169811263680458,9.795886039733887,-0.006652869246708115,-0.007814290962997135,-0.014697845616011706,23.148203258476144,63.86901153961773,0,0.07685279846191406,2019-08-07 13:39:46:233
-0.193522110581398,0.07627038657665253,9.865334510803223,-0.007185631501886564,-0.0035521926614952163,-0.02082461311100982,26.263406482631268,66.18407318426516,0,0.0800771713256836,2019-08-07 13:39:46:237
-0.25578561425209045,0.1313496232032776,9.788702011108398,-0.0039890577107415445,-0.0003556188378409054,-0.01842718140226085,29.30826075306137,68.44567981285473,0,0.08303999900817871,2019-08-07 13:39:46:240
-0.2581803500652313,0.13374437391757965,9.829413414001465,-0.0026571518127210965,-0.0014211433807070943,-0.02082461311100982,32.29230104818301,70.66173113980388,0,0.08676600456237793,2019-08-07 13:39:46:243
-0.239022359251976,0.10500738024711609,9.903650283813477,-0.0018580084299534227,-0.0022202867634747683,-0.020558230422974645,35.219205692815905,72.8366831127614,0,0.08998823165893555,2019-08-07 13:39:46:246
-0.3060753643512726,0.052322886884212494,9.90125560760498,-0.002390770685131872,-0.0035521926614952163,-0.022156518228807296,38.0799959925018,74.9742887402289,0,0.09292912483215332,2019-08-07 13:39:46:249
-0.13844287395477295,0.11219162493944168,9.779123306274414,-0.0018580084299534227,-0.012342770652162603,-0.021090993718450395,40.904840843387454,77.06205833468543,0,0.09677648544311523,2019-08-07 13:39:46:253
-0.021100139245390892,0.06669138371944427,9.946755409240723,-0.0005261027594980092,-0.0003556188378409054,-0.024021186642080517,43.68437756399454,79.11322934053533,0,0.10000038146972656,2019-08-07 13:39:46:256
-0.2581803500652313,-0.17278358340263367,9.82222843170166,-0.011714110670903381,-0.006216004197461787,-0.022422898836247866,46.381607060528005,73.95306323631665,0,0.10295391082763672,2019-08-07 13:39:46:259
-0.1025216281414032,-0.019519604742527008,9.898860931396484,-0.0007924839195965244,0.004705623073993721,-0.029082428586424434,49.04109801753235,68.87643156240881,0,0.10677337646484375,2019-08-07 13:39:46:263
-0.07378463447093964,0.05711238458752632,9.805465698242188,6.659528697688281e-06,0.004172860558740947,-0.026951379565710636,51.65089979068285,71.09222736607153,0,0.10998964309692383,2019-08-07 13:39:46:266
