ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,Pitch (Deg),Roll (Deg),Heading (Deg),MagX,MagY,MagZ
-0.23777230083942413,0.3606301546096802,9.836935043334961,0.007930166558442704,-0.0013985010498805918,0.017134434115163247,0.0,2019-08-07 13:53:33:560,3.5723070305537106,3.5580085946654267,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.2784830331802368,0.3726038932800293,9.738750457763672,0.002336162618994662,0.002064453868853653,0.01074128705302186,0.010025978088378906,2019-08-07 13:53:33:570,7.06693975366389,7.041711988594794,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.22340381145477295,0.23370841145515442,9.839329719543457,-0.002192316810096481,-0.0013985010498805918,0.002483471317532922,0.01999068260192871,2019-08-07 13:53:33:580,10.500369686439509,10.474891174981426,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.26171979308128357,0.2816033959388733,9.84411907196045,0.0020697814914054373,-0.0048614559686148365,0.004348139470731819,0.030014514923095703,2019-08-07 13:53:33:590,13.862639891643315,13.831456984054089,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.18269306421279907,0.38218289613723755,9.789039611816406,0.001803400363816213,-0.004595074841025611,8.60411123386422e-05,0.039984703063964844,2019-08-07 13:53:33:600,17.16657576455025,17.10910222267041,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.15874555706977844,0.25765591859817505,9.827356338500977,-0.0016595545549180318,0.0028635972516213265,-0.00018034003963255039,0.050042152404785156,2019-08-07 13:53:33:610,20.40311824328682,20.337820368377795,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.1946668028831482,0.2552611529827118,9.779460906982422,0.003668068256940785,0.00019978586194656375,-0.008171774566259036,0.060056209564208984,2019-08-07 13:53:33:620,23.572136326154602,23.499097825280444,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.16353505849838257,0.31752464175224304,9.808197975158691,0.004733593027372009,-0.005127837096204061,-0.004442438259861242,0.07002711296081543,2019-08-07 13:53:33:630,26.68446006762528,26.589381472866652,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.17550881206989288,0.3055509030818939,9.77467155456543,0.0007378757884407334,-0.0021976444326482656,-0.003643294877093568,0.07999300956726074,2019-08-07 13:53:33:640,29.731427391243724,29.621371904188834,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.17550881206989288,0.2289189100265503,9.793828964233398,-0.0011267922997395827,-0.004595074841025611,-0.006573487280575038,0.08998537063598633,2019-08-07 13:53:33:650,32.71884399369761,32.60279715992108,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.13000856339931488,0.31034040451049805,9.75790786743164,0.003668068256940785,-0.0037959311981836125,-0.008171774566259036,0.10002541542053223,2019-08-07 13:53:33:660,35.651340464426205,35.51224094610325,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.1539560705423355,0.33668264746665955,9.805803298950195,0.00393444938453001,-0.00033297644199582136,-0.012433872607686629,0.1100010871887207,2019-08-07 13:53:33:670,38.520510189965194,38.36046270656503,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.10127156972885132,0.29597190022468567,9.810592651367188,0.0015370192362269886,-0.0013985010498805918,-0.013765778765781403,0.11999273300170898,2019-08-07 13:53:33:680,41.339056091300584,41.1578309461289,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.09648206830024719,0.2983666658401489,9.789039611816406,0.00047149462834221814,-0.006726123861739408,-0.012167492000246055,0.12999677658081055,2019-08-07 13:53:33:690,44.10475927619176,43.89949316102889,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.180298313498497,0.2480769157409668,9.877645492553711,-0.00911822664756497,-0.005926980478971734,-0.012700254255424506,0.1399846076965332,2019-08-07 13:53:33:700,46.805073766141504,46.59784333554828,0,-16.793163299560547,34.485958099365234,-53.378265380859375
-0.3958257734775543,0.23370841145515442,9.90638256072998,-0.007519939882029623,-0.0016648821774698163,-0.012433872607686629,0.15000224113464355,2019-08-07 13:53:33:710,49.42414617371958,49.243087266696776,0,-16.793163299560547,34.485958099365234,-53.378265380859375
