ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.24232232570648193,-0.02909860387444496,9.714465141296387,-0.007984774884654239,-0.0054168602945454634,-0.004308981379957623,-3.571421652680121,-3.5965675470935654,0,0.0,2019-08-07 14:04:33:345
0.44348129630088806,0.018796389922499657,9.721649169921875,-0.0037226765831523197,-0.004084954916673665,-0.005374506150388846,-7.046919397416781,0.07390987339978006,0,0.0036437511444091797,2019-08-07 14:04:33:348
0.11779534071683884,-0.05065134912729263,9.747991561889648,-0.007984774884654239,-0.007814290962997135,-0.008837460809048764,-10.491087104444896,-3.520543996692054,0,0.006030559539794922,2019-08-07 14:04:33:351
0.3500860631465912,-0.12009909003973007,9.755175590515137,-0.012246872926081832,-0.008613434345764809,-0.00617364953315652,-13.83839701095203,-7.033520432916873,0,0.009674310684204102,2019-08-07 14:04:33:354
0.3237438201904297,0.014006891287863255,9.59233283996582,0.0005394218158774704,0.001775430280400763,-0.009902985319405663,-17.12328858342235,-3.294620471970934,0,0.012882232666015625,2019-08-07 14:04:33:358
0.26626983284950256,-0.12967808544635773,9.764754295349121,-0.017041733222687875,-0.008613434345764809,-0.001911551101617438,-20.34801660217078,-6.810411427820407,0,0.016121387481689453,2019-08-07 14:04:33:361
0.12497959285974503,-0.02909860387444496,9.829413414001465,-0.0034562954555630953,-0.0011547622531178697,-0.012034034340119461,-23.52625558854643,-10.270118548040802,0,0.019688844680786133,2019-08-07 14:04:33:364
0.42432329058647156,-0.03628285229206085,9.724043846130371,-0.009583061650189587,-0.001687524508296319,-0.006440030660745744,-26.605453988264426,-13.658711660606302,0,0.02290177345275879,2019-08-07 14:04:33:368
0.02200535498559475,-0.012335355393588543,9.82222843170166,-0.0026571518127210965,-0.0024866678910639927,-0.004042600252368397,-29.670321414277094,-16.983610806478378,0,0.026169300079345703,2019-08-07 14:04:33:371
0.3237438201904297,-0.053046099841594696,9.870123863220215,-0.009849443297927462,-0.0046177169117777896,-0.007239174043513418,-32.63842967653966,-20.235834095074875,0,0.029687881469726562,2019-08-07 14:04:33:374
0.3692440688610077,-0.08417784422636032,9.745596885681152,-0.007185631501886564,-0.003019430146242442,-0.00617364953315652,-35.541722632412636,-23.419928939464054,0,0.03288722038269043,2019-08-07 14:04:33:378
0.21598008275032043,0.006822641938924789,9.779123306274414,-0.010648586160546484,-0.007015147580229461,-0.008837460809048764,-38.40439851769873,-19.350530656671936,0,0.03589630126953125,2019-08-07 14:04:33:381
0.22795382142066956,-0.0267038531601429,9.795886039733887,-0.009849443297927462,-0.008080672090586358,-0.0051081250227996205,-41.20795943307353,-22.558336264956836,0,0.03962111473083496,2019-08-07 14:04:33:384
0.35248079895973206,-0.019519604742527008,9.759964942932129,-0.004788200833434893,-0.0038185737890844406,-0.006706411788334968,-43.941781179654086,-25.70405976370899,0,0.04266357421875,2019-08-07 14:04:33:387
0.192032590508461,-0.06980934739112854,9.831808090209961,-0.009050299395011138,-0.008347053218175584,-0.005640887277978069,-46.63896938402903,-28.780110464307732,0,0.046071529388427734,2019-08-07 14:04:33:391
0.28782257437705994,-0.014730105176568031,9.74080753326416,-0.010115823905368035,-0.007015147580229461,-0.006440030660745744,-49.27091421646257,-31.800719144567847,0,0.04969167709350586,2019-08-07 14:04:33:394
0.22316433489322662,0.016401641070842743,9.788702011108398,-0.005587344736351217,-0.0038185737890844406,-0.008038317426281092,-51.85870367471104,-27.565641515772597,0,0.052825927734375,2019-08-07 14:04:33:398
0.29261207580566406,-0.005151106510311365,9.7982816696167,-0.009583061650189587,-0.007814290962997135,-0.0077719362986918665,-54.385958540322314,-30.612058360796333,0,0.055925607681274414,2019-08-07 14:04:33:401
0.17526933550834656,0.014006891287863255,9.807860374450684,-0.006120106991529666,-0.0038185737890844406,-0.008038317426281092,-56.87690677908236,-26.400080299955157,0,0.059922218322753906,2019-08-07 14:04:33:405
0.38600730895996094,-0.05783560127019882,9.74080753326416,-0.006120106991529666,-0.0038185737890844406,-0.005640887277978069,-59.29330702280434,-29.464192808700883,0,0.06307125091552734,2019-08-07 14:04:33:408
0.18963783979415894,-0.04825660213828087,9.841386795043945,-0.0077183937570650145,-0.005949623069872562,-0.0035098379971899483,-61.68430586451419,-32.467919332729295,0,0.06623411178588867,2019-08-07 14:04:33:411
0.29979631304740906,-0.005151106510311365,9.843781471252441,-0.008783917747273263,-0.006216004197461787,-0.004841743895210396,-64.01453275411754,-35.416267748099386,0,0.06966781616210938,2019-08-07 14:04:33:414
