ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,Pitch (Deg),Roll (Deg),Heading (Deg),MagX,MagY,MagZ
-0.2093825489282608,-0.19969099760055542,9.749200820922852,-0.0015873652043227706,0.0033167117447063417,-0.04091907483609319,0.0,2019-07-25 15:40:09:266,3.575393075674874,-3.576531713906166,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.2285405397415161,-0.1613750010728836,9.890491485595703,-0.0047839387353934655,0.0057141418930093625,-0.046779460683353424,0.009624719619750977,2019-07-25 15:40:09:275,7.074323068540975,-7.083720409708579,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.1974087953567505,-0.1685592532157898,9.873727798461914,-0.00212012745950122,-0.00041262439914499955,-0.03745612069758192,0.01962423324584961,2019-07-25 15:40:09:285,10.510160656107853,-10.521295023351964,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.23093529045581818,-0.11826950311660767,9.809069633483887,-0.0002554595176127117,0.003583092872295566,-0.04038631362121203,0.02966785430908203,2019-07-25 15:40:09:296,13.870963414622015,-13.896909241068167,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.21896153688430786,-0.08713775873184204,9.804280281066895,-0.0023865085870904443,0.0014520435915074442,-0.041451836050974335,0.0396730899810791,2019-07-25 15:40:09:306,17.167140622187237,-17.2074460174693,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.20459304749965668,-0.17095398902893066,9.868938446044922,-0.0058494637658990135,0.003583092872295566,-0.04278374116877181,0.04997706413269043,2019-07-25 15:40:09:316,20.397972167799473,-20.440064735129685,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.2500932812690735,-0.15898025035858154,9.76596450805664,-0.007181369403845137,-0.00041262439914499955,-0.0438492677597233,0.0596311092376709,2019-07-25 15:40:09:326,23.560897444840805,-23.6087178859736,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.262067049741745,-0.19011199474334717,9.837806701660156,-0.0023865085870904443,0.0003865190486412555,-0.04411564628656928,0.06960868835449219,2019-07-25 15:40:09:335,26.65894439067454,-26.71306487015503,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.24051429331302643,-0.15179599821567535,9.849780082702637,-0.005050319862982691,-0.002277292454816025,-0.03985354824514169,0.07961869239807129,2019-07-25 15:40:09:345,29.699069796154394,-29.758306560162627,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.23093529045581818,-0.1158747524023056,9.82583236694336,-0.0047839387353934655,0.004648617382652464,-0.03932078703026053,0.08960366249084473,2019-07-25 15:40:09:355,32.6755547797382,-32.74694528530404,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.23811954259872437,-0.14461174607276917,9.883306503295898,-0.0029192708422688934,-0.0006790055592435148,-0.04544755140436675,0.09961533546447754,2019-07-25 15:40:09:365,35.594822065313046,-35.6735995512287,0,-22.340904235839844,8.84639835357666,-42.732601165771484
-0.19980354607105255,-0.15179599821567535,9.794700622558594,-0.00212012745950122,0.00118566246391822,-0.041451836050974335,0.10962104797363281,2019-07-25 15:40:09:375,38.45888703589416,-38.54117871906698,0,-23.840293884277344,8.246642112731934,-41.233211517333984
-0.19980354607105255,-0.13742749392986298,9.830622673034668,-0.0015873652043227706,0.00438223625506324,-0.04305012385680698,0.11961579322814941,2019-07-25 15:40:09:385,41.26396289021683,-41.35344599059671,0,-23.840293884277344,8.246642112731934,-41.233211517333984
