ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.019610606133937836,0.0714808851480484,9.819833755493164,-0.0029235329403103213,-0.0035521926614952163,-0.005640887277978069,-3.59771156314977,3.5916587575681644,0,0.0,2019-08-07 14:30:57:031
0.014821105636656284,0.10261262953281403,9.728833198547363,-0.010648586160546484,-0.005949623069872562,-0.008038317426281092,-7.122845406640343,7.1098270316870416,0,0.003490924835205078,2019-08-07 14:30:57:034
0.017215855419635773,0.12656012177467346,9.795886039733887,-0.009849443297927462,-0.005949623069872562,-0.00963660471196509,-10.576959724308042,10.555168697326675,0,0.007726192474365234,2019-08-07 14:30:57:039
0.03876860439777374,0.10740213096141815,9.86054515838623,-0.008251156012243464,-0.005949623069872562,-0.015230607871190155,-13.96014863012848,13.932647443143583,0,0.010020732879638672,2019-08-07 14:30:57:041
-0.006731641478836536,0.1361391246318817,9.795886039733887,-0.007185631501886564,-0.0038185737890844406,-0.007239174043513418,-10.080982475299624,17.239482595579364,0,0.013521671295166016,2019-08-07 14:30:57:044
-0.006731641478836536,0.10979688167572021,9.755175590515137,-0.006919250374297341,-0.007814290962997135,-0.010169366967143538,-6.2784793760131095,20.483278366160008,0,0.017337322235107422,2019-08-07 14:30:57:048
0.012426355853676796,0.08824413269758224,9.795886039733887,-0.004521819705845669,-0.008613434345764809,-0.010968509829762562,-9.750168040636598,23.66396657337116,0,0.020000696182250977,2019-08-07 14:30:57:051
0.02200535498559475,0.09303363412618637,9.757570266723633,-0.0031899140678995457,-0.007281528707818685,-0.014964227263749581,-13.151043550683994,26.780435101392808,0,0.02375960350036621,2019-08-07 14:30:57:055
-0.028284389525651932,0.08345463126897812,9.764754295349121,-0.005054581961024118,-0.005150479166956239,-0.017095276284463376,-9.290276347658978,29.83607877048427,0,0.027444124221801758,2019-08-07 14:30:57:058
-0.06420563161373138,0.10740213096141815,9.815044403076172,-0.006386488119118891,-0.007281528707818685,-0.012833178243035783,-5.510919173624497,32.827737232878945,0,0.03000640869140625,2019-08-07 14:30:57:061
-0.01870539039373398,0.124165378510952,9.843781471252441,-0.005054581961024118,-0.0046177169117777896,-0.015230607871190155,-1.8019058841729918,35.757793545381396,0,0.03375673294067383,2019-08-07 14:30:57:065
